gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000100181.22,TPTEP1,NA,NA,NA,NA,0.247232890340389,2.2220152794183105e-12,4.287248296366115e-12,0,NA,61
ENSG00000100201.20,DDX17,NA,NA,NA,NA,0.294015128830556,7.69694164328566e-15,1.7768718547363982e-14,0,13.0,46
ENSG00000100206.9,DMC1,NA,NA,NA,NA,0.248943357022275,1.8170303234803286e-12,3.5280052006987225e-12,0,13.0,30
ENSG00000100207.18,TCF20,NA,NA,NA,NA,0.20542513004813,2.675282188172748e-10,4.4830371593892413e-10,0,10.0,32
ENSG00000100209.9,HSCB,NA,NA,NA,NA,0.254368581239275,9.571005270098495e-13,1.8948156953601587e-12,0,NA,86
ENSG00000100216.5,TOMM22,NA,NA,NA,NA,0.336040992200585,3.4624879683332514e-17,9.550687317035699e-17,0,NA,99
ENSG00000100218.11,RSPH14,NA,NA,NA,NA,0.0926184587727057,4.0170423119705244e-05,4.645579523964278e-05,0,NA,11
ENSG00000100226.15,GTPBP1,NA,NA,NA,NA,0.161868302606867,3.109338473842918e-08,4.498992424829721e-08,0,NA,111
ENSG00000100234.11,TIMP3,NA,NA,NA,NA,0.150375733398653,1.052482176703315e-07,1.4685203097266604e-07,0,12.0,36
ENSG00000100239.15,PPP6R2,NA,NA,NA,NA,0.129179636432504,9.63686701873772e-07,1.2584356760682515e-06,0,NA,22
ENSG00000100241.20,SBF1,NA,NA,NA,NA,0.110393221702657,6.634105197376428e-06,8.164232327015084e-06,0,NA,24
ENSG00000100243.20,CYB5R3,NA,NA,NA,NA,0.1521690979266,8.709072003180454e-08,1.223344344369699e-07,0,21.0,90
ENSG00000100246.12,DNAL4,NA,NA,NA,NA,0.270818398998204,1.3335164698933328e-13,2.8095274765833393e-13,0,NA,68
ENSG00000100249.4,C22orf31,NA,NA,NA,NA,0.228788089984236,1.8944450279709125e-11,3.426409629330067e-11,0,NA,79
ENSG00000100258.17,LMF2,NA,NA,NA,NA,0.106538215788327,9.82224660356662e-06,1.1935828831314653e-05,0,NA,30
ENSG00000100263.13,RHBDD3,NA,NA,NA,NA,0.177437703665128,5.8267682558859745e-09,8.857767494222424e-09,0,NA,20
ENSG00000100280.16,AP1B1,NA,NA,NA,NA,0.178624543645414,5.122791462849494e-09,7.82253747061013e-09,0,NA,23
ENSG00000100281.13,HMGXB4,NA,NA,NA,NA,0.106371659042057,9.989957245983118e-06,1.21348132173576e-05,0,10.0,32
ENSG00000100285.9,NEFH,NA,NA,NA,NA,0.213815848308935,1.0422872463066055e-10,1.793358655255635e-10,0,NA,81
ENSG00000100288.19,CHKB,NA,NA,NA,NA,0.0372194152560295,0.010307893904541806,0.010461607113103956,0,NA,10
ENSG00000100294.12,MCAT,NA,NA,NA,NA,0.270696239399571,1.3533866050650481e-13,2.8487780360452836e-13,0,11.0,68
ENSG00000100296.13,THOC5,NA,NA,NA,NA,0.117264179344911,3.287021636074793e-06,4.133181167682386e-06,0,NA,132
ENSG00000100297.15,MCM5,NA,NA,NA,NA,0.179976006416329,4.423268798941856e-09,6.775757539959616e-09,0,10.0,36
ENSG00000100298.15,APOBEC3H,NA,NA,NA,NA,0.077733185499488,0.00017895586178613842,0.00019675080269128154,0,NA,11
ENSG00000100299.17,ARSA,NA,NA,NA,NA,0.194903036049617,8.615172517366975e-10,1.392124605866475e-09,0,NA,21
ENSG00000100300.17,TSPO,NA,NA,NA,NA,0.257436544379143,6.647781877656992e-13,1.3324568039247916e-12,0,11.0,45
ENSG00000100302.6,RASD2,NA,NA,NA,NA,0.249096796296291,1.784489998587321e-12,3.4670953916304305e-12,0,10.0,56
ENSG00000100307.12,CBX7,NA,NA,NA,NA,0.109887861270559,6.98475818902857e-06,8.58196820550876e-06,0,NA,22
ENSG00000100324.13,TAB1,NA,NA,NA,NA,0.108257913586516,8.245979413570253e-06,1.0070990143810113e-05,0,NA,31
ENSG00000100346.17,CACNA1I,NA,NA,NA,NA,0.174252727024367,8.225291492228906e-09,1.2354745501160566e-08,0,NA,35
ENSG00000100348.9,TXN2,NA,NA,NA,NA,0.0995456326466245,1.9960975717360872e-05,2.361898839550698e-05,0,11.0,31
ENSG00000100350.14,FOXRED2,NA,NA,NA,NA,0.0672934427315208,0.0005077275660984898,0.0005423158425148715,0,11.0,11
ENSG00000100354.20,TNRC6B,NA,NA,NA,NA,0.137272395222947,4.1584225985457507e-07,5.566373373461299e-07,0,NA,53
ENSG00000100359.20,SGSM3,NA,NA,NA,NA,0.168468125002037,1.5339596561055474e-08,2.2597436780980872e-08,0,NA,22
ENSG00000100362.12,PVALB,NA,NA,NA,NA,0.132459128104403,6.860154462361496e-07,9.034126300727738e-07,0,11.0,11
ENSG00000100372.14,SLC25A17,NA,NA,NA,NA,0.063369658202762,0.0007509623449719904,0.0007952791638546159,0,NA,21
ENSG00000100373.9,UPK3A,NA,NA,NA,NA,0.14752956914979,1.4205258714155402e-07,1.963682816604788e-07,0,NA,23
ENSG00000100379.17,KCTD17,NA,NA,NA,NA,0.123885210382553,1.6647667525096237e-06,2.1351028646089366e-06,0,11.0,32
ENSG00000100385.13,IL2RB,NA,NA,NA,NA,0.0643353911065242,0.0006820012579054848,0.0007244193708249243,0,NA,10
ENSG00000100395.14,L3MBTL2,NA,NA,NA,NA,0.174752579335279,7.792676729872938e-09,1.1729867921702581e-08,0,NA,131
ENSG00000100401.19,RANGAP1,NA,NA,NA,NA,0.0808389782099127,0.00013113803196325866,0.00014569482922350914,0,NA,102
ENSG00000100403.11,ZC3H7B,NA,NA,NA,NA,0.136234679584164,4.633177357508986e-07,6.180260389197527e-07,0,NA,21
ENSG00000100412.15,ACO2,NA,NA,NA,NA,0.127946967034531,1.0947311073835324e-06,1.4234912842683125e-06,0,NA,23
ENSG00000100413.16,POLR3H,NA,NA,NA,NA,0.159782063125877,3.8836710977197016e-08,5.5824734114281315e-08,0,NA,20
ENSG00000100418.7,DESI1,NA,NA,NA,NA,0.214507496625252,9.639735061724288e-11,1.6623477054640158e-10,0,NA,80
ENSG00000100427.15,MLC1,NA,NA,NA,NA,0.131011413374987,7.971569336367114e-07,1.0454293328938202e-06,0,NA,37
ENSG00000128191.15,DGCR8,NA,NA,NA,NA,0.102393662467078,1.4959702211499892e-05,1.7866858692221632e-05,0,NA,11
ENSG00000128203.6,ASPHD2,NA,NA,NA,NA,0.114018835423217,4.581972362005087e-06,5.696003526194391e-06,0,10.0,24
ENSG00000128228.4,SDF2L1,NA,NA,NA,NA,0.0203324729235801,0.05904268547230813,0.05956128613521817,0,NA,119
ENSG00000128242.12,GAL3ST1,NA,NA,NA,NA,0.0609583821474462,0.0009551362531370152,0.0010051302134718699,0,NA,11
ENSG00000128245.14,YWHAH,NA,NA,NA,NA,0.164621340820843,2.316951384535078e-08,3.378535045406808e-08,0,12.0,36
ENSG00000128254.12,C22orf24,NA,NA,NA,NA,0.10321392080304,1.3765855663317855e-05,1.650106742786229e-05,0,12.0,22
ENSG00000128262.8,POM121L9P,NA,NA,NA,NA,0.0946535113508736,3.271980692477572e-05,3.8059195597523654e-05,0,NA,14
ENSG00000128266.8,GNAZ,NA,NA,NA,NA,0.0754747881215229,0.00022429965403855526,0.00024504937233130154,0,NA,119
ENSG00000128268.11,MGAT3,NA,NA,NA,NA,0.119485232140174,2.6173911742882365e-06,3.3101982256517985e-06,0,NA,22
ENSG00000128283.6,CDC42EP1,NA,NA,NA,NA,0.209772099230573,1.6435152891870219e-10,2.792790545043528e-10,0,NA,22
